Wall time,Step,Value
1702540792.6326408,1000,-504.45831298828125
1702540956.9225705,4000,-454.6024475097656
1702541013.5676677,5000,-447.370361328125
1702541344.0807223,11000,-454.9494934082031
1702541399.4449244,12000,-455.9432067871094
1702541556.90299,15000,-449.5771789550781
1702541612.0259964,16000,-449.8066101074219
1702541780.6517603,19000,-448.5315856933594
1702541836.0969641,20000,-448.7087707519531
1702541891.0227263,21000,-444.155029296875
1702541999.840581,23000,-444.3758239746094
1702542054.1938875,24000,-445.9111633300781
1702542214.791687,27000,-443.9602355957031
1702542268.8160129,28000,-436.3893737792969
1702542597.7480166,34000,-438.6677551269531
1702542764.205291,37000,-433.3984375
1702542820.4107492,38000,-433.2038269042969
1702542875.075282,39000,-440.11944580078125
1702542928.725531,40000,-440.05419921875
1702542985.5379956,41000,-439.2412109375
1702543374.4136636,48000,-441.89361572265625
1702543430.430013,49000,-439.76190185546875
1702543485.07531,50000,-447.2041320800781
1702543597.849907,52000,-446.68768310546875
1702543655.2599754,53000,-444.530517578125
1702543765.2650082,55000,-445.90704345703125
1702543931.3344746,58000,-452.2313537597656
1702544100.8136845,61000,-453.6437072753906
1702544156.8825574,62000,-458.7934265136719
1702544212.0270045,63000,-460.4154357910156
1702544267.4289224,64000,-461.5526123046875
1702544381.0142443,66000,-459.639404296875
1702544437.4614058,67000,-459.3299865722656
1702544491.992992,68000,-462.54864501953125
1702544546.7396283,69000,-462.3536682128906
1702544659.3111148,71000,-458.677978515625
1702544712.3529446,72000,-461.0249938964844
1702545053.5604923,78000,-453.6066589355469
1702545163.4436767,80000,-458.03436279296875
1702545218.3887107,81000,-456.42108154296875
1702545330.853744,83000,-449.52716064453125
1702545386.1048615,84000,-444.5373229980469
1702545495.1135347,86000,-442.22222900390625
1702545718.4837167,90000,-436.0162658691406
1702545774.6064339,91000,-426.5940856933594
1702546052.2803528,96000,-425.0557861328125
1702546275.664437,100000,-420.64776611328125
1702546332.5612793,101000,-421.7480773925781
1702546501.3358452,104000,-420.386962890625
1702546668.995129,107000,-432.1795654296875
